Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),53/90,5.145176601350869e-116,2.7063628923105573e-113,0,0,1424.554054054054,378164.6991901513,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
cytoplasmic translation (GO:0002181),53/93,6.742182850090634e-115,1.7731940895738369e-112,0,0,1317.51375,346359.7430505193,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
cotranslational protein targeting to membrane (GO:0006613),53/94,1.5445649710136674e-114,2.708137249177297e-112,0,0,1285.3146341463414,336829.4994303429,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",54/113,1.4008758494103854e-111,1.6160129729821746e-109,0,0,957.0669045495093,244291.18160066937,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;PABPC1;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
protein targeting to ER (GO:0045047),53/103,1.5361340047359074e-111,1.6160129729821746e-109,0,0,1053.481,268803.7641429081,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
peptide biosynthetic process (GO:0043043),54/162,7.763892281849062e-101,6.806345567087678e-99,0,0,521.5526315789474,120223.93711857911,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
nuclear-transcribed mRNA catabolic process (GO:0000956),54/171,2.5943598368849977e-99,1.9494761060021552e-97,0,0,481.21457489878543,109236.95215836816,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;PABPC1;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
translation (GO:0006412),56/214,2.636716593517941e-98,1.7336411602380464e-96,0,0,412.1608339538347,92605.86431484461,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;EEF1B2;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
cellular macromolecule biosynthetic process (GO:0034645),56/314,7.595114900060944e-88,4.43892270825784e-86,0,0,251.13178294573643,50377.031369373115,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;EEF1B2;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
gene expression (GO:0010467),55/356,3.234154028129002e-82,1.701165018795855e-80,0,0,199.23034330011075,37383.22504188439,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS19;RPS18;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL19;RANBP2;RPL41;RPL35A;RPL23A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23
