Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
RNA binding (GO:0003723),91/1406,8.453840762274667e-57,2.105006349806392e-54,0,0,14.552765295540961,1878.9472481266453,RPL4;RPL5;RPL30;RPL3;HSP90AB1;DDX3X;RPL32;RPL31;RPL34;RPLP0;GDI2;MSI2;RPL10A;MKI67;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RACK1;MYO18A;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;DDX17;HSP90AA1;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;YWHAZ;HNRNPH1;RPL37A;SRSF3;RPL24;MYH9;RPL27;RPL29;SLC25A5;MACF1;DDX5;RPL10;PRKDC;KMT2C;RPL12;RPL11;BAZ2A;PRPF8;ZFP36L2;HSPD1;TRA2B;RPS3;RPL14;RPL13;RPS2;RPS27A;RPL19;BTF3;HSPA8;RBM39;DYNC1H1;NPM1;HUWE1;PRRC2C;RPL35A;RPL23A;EEF2;RPS26;RPS25;RPS27;SON;EIF3L;RPL27A;HNRNPA2B1;RPS20;RPS24;EIF4G2;TPT1;RPS23
cadherin binding (GO:0045296),20/322,1.1720059136227573e-11,1.0817635279533788e-9,0,0,8.129867966179349,204.6264945412967,MACF1;HSPA8;HSP90AB1;DDX3X;RPL34;RPL23A;EEF2;YWHAZ;RPL6;RPS26;PDLIM1;RPL7A;RACK1;RPL14;RPL24;MYH9;RPS2;RPL29;WASF2;EIF4G2
ubiquitin ligase inhibitor activity (GO:1990948),6/8,1.3033295517510588e-11,1.0817635279533788e-9,0,0,343.6820809248555,8613.880591503696,RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
ubiquitin-protein transferase inhibitor activity (GO:0055105),6/9,3.8810950822316964e-11,2.415981688689231e-9,0,0,229.10982658959537,5492.293773762374,RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
rRNA binding (GO:0019843),9/42,1.0411133123942045e-10,5.184744295723138e-9,0,0,31.745454545454546,729.6870595997153,RPL5;RPS14;RPL12;RPL23;RPS5;RPL11;RPLP0;RPS3;RPS13
mRNA binding (GO:0003729),16/263,1.9939927963541644e-9,8.275070104869782e-8,0,0,7.778843049104593,155.8345489894535,RPL5;DDX5;DDX3X;RPS7;RPS5;RPL13A;RPS3A;RPL7;RPS26;RPS14;TRA2B;HNRNPA2B1;RPS3;RPS2;RPS13;EIF4G2
mRNA 5'-UTR binding (GO:0048027),6/25,7.265919726935595e-8,2.584591445724233e-6,0,0,36.146029814420444,594.1498538966567,RPL5;RPS14;DDX3X;RPS7;RPS3A;RPS13
large ribosomal subunit rRNA binding (GO:0070180),3/5,6.957299430972609e-6,2.1654594478902247e-4,0,0,168.9119318181818,2005.9506670230244,RPL12;RPL23;RPLP0
ubiquitin protein ligase binding (GO:0031625),11/265,2.796836352039378e-5,7.737913907308946e-4,0,0,5.043986689163854,52.883358456309594,RPL5;HSPA8;HSP90AA1;HSP90AB1;RPL23;RPL11;SLC25A5;RPS27A;UBA52;YWHAZ;HSPD1
disordered domain specific binding (GO:0097718),4/23,4.809437610499539e-5,0.001114949097884359,0,0,23.821954887218045,236.84610141419404,HSP90AA1;HSP90AB1;NUMA1;CALM1
