Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Myc Targets V1,11/200,1.5721765875797155e-10,1.729394246337687e-9,0,0,18.528588496330432,418.2530525943464,EEF1B2;RPL34;RPS5;RPLP0;RPS6;RACK1;RPS3;RPL14;PABPC1;RPS2;RPL6
Allograft Rejection,4/200,0.0061707911267906,0.0339393511973483,0,0,5.835847382431234,29.692372629986004,RPS19;RPS3A;RPL9;RPL39
Unfolded Protein Response,2/113,0.06416797767577442,0.23528258481117287,0,0,5.028803451338662,13.810356420649189,RPS14;EEF2
p53 Pathway,2/200,0.16563305326129824,0.45549089646857016,0,0,2.806800398349694,5.046572271238703,RACK1;RPS12
Pperoxisome,1/104,0.31701210482575165,0.5204962404113022,0,0,2.6731391585760518,3.0709432185690173,PABPC1
PI3K/AKT/mTOR  Signaling,1/105,0.3195180375197779,0.5204962404113022,0,0,2.6473023504273505,3.0204172504491282,CFL1
UV Response Up,1/158,0.44012278319703707,0.5204962404113022,0,0,1.7489384288747345,1.435356458929709,EIF2S3
KRAS Signaling Up,1/200,0.5204962404113022,0.5204962404113022,0,0,1.3768844221105527,0.8990678202624621,IL7R
TNF-alpha Signaling via NF-kB,1/200,0.5204962404113022,0.5204962404113022,0,0,1.3768844221105527,0.8990678202624621,IL7R
Apical Junction,1/200,0.5204962404113022,0.5204962404113022,0,0,1.3768844221105527,0.8990678202624621,ACTB
Inflammatory Response,1/200,0.5204962404113022,0.5204962404113022,0,0,1.3768844221105527,0.8990678202624621,IL7R
