Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
interferon-gamma-mediated signaling pathway (GO:0060333),9/68,2.9338022881203492e-8,4.341368154928028e-5,0,0,15.439634941329857,267.79091791693946,CIITA;IRF1;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-E;HLA-DQB1
regulation of apoptotic process (GO:0042981),26/742,4.2375482234534194e-8,4.341368154928028e-5,0,0,3.892411022534681,66.08027821291027,TOP2A;TFRC;FLT3;LEF1;HMGB1;SOCS2;PRDX2;TCL1A;UBB;PMAIP1;NCKAP1L;SOX4;SNCA;CD74;BNIP3L;XBP1;JUN;ARHGEF12;HSPA5;ADAM10;HNRNPK;CAT;CTNNB1;PTMA;PPIA;ARHGEF6
negative regulation of programmed cell death (GO:0043069),17/381,4.085961948298471e-7,2.370481893947291e-4,0,0,4.853146853146853,71.39240347071416,CD74;BNIP3L;XBP1;TFRC;HSPA5;LEF1;ADAM10;SOCS2;PRDX2;TCL1A;HNRNPK;UBB;CAT;CTNNB1;NCKAP1L;PTMA;SNCA
cellular response to interferon-gamma (GO:0071346),10/121,4.6275878847189677e-7,2.370481893947291e-4,0,0,9.141357852698059,133.33639315045662,CIITA;IRF1;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;GBP4;HLA-E;HLA-DPA1;HLA-DQB1
"positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)",4/8,7.125088534121116e-7,2.919739380689498e-4,0,0,98.96,1400.7266974649235,MYB;HLA-DRA;NCKAP1L;HLA-DRB1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),9/100,8.549749284595894e-7,2.919739380689498e-4,0,0,9.994082840236686,139.63926121646787,CD74;CANX;MARCHF8;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
antigen processing and presentation of exogenous peptide antigen (GO:0002478),9/103,1.0987025685467398e-6,3.2160593756460997e-4,0,0,9.673649754500818,132.73582966086232,CD74;CANX;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-E;HLA-DPA1;HLA-DQB1
"negative regulation of transcription, DNA-templated (GO:0045892)",27/948,1.3927244227148665e-6,3.5671154276784516e-4,0,0,3.1262076961298515,42.15456210250269,CIITA;SET;UHRF1;UBE2D3;LEF1;HMGB2;HNRNPU;ENO1;HMGB1;MACROH2A1;UBB;IFI16;MYB;NRIP1;SNCA;JUN;CBX5;PARP1;XRCC5;NONO;H1-0;ZEB2;IFI27;IRF1;MDM2;CTNNB1;HDGF
hydrogen peroxide catabolic process (GO:0042744),5/21,1.8728042340938976e-6,4.263750972953773e-4,0,0,31.061557788944725,409.6421121129661,PRDX2;PRDX1;CAT;HBA1;HBD
regulation of translation (GO:0006417),11/178,2.2362994923238312e-6,4.4565241108173364e-4,0,0,6.699109552914895,87.16002474328269,EIF4A2;RBM3;DDX6;EIF5;DHX9;NCL;YBX1;SOX4;GSPT1;EIF4B;EIF1
