Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),58/90,1.00539071332528e-99,1.4266494222085724e-96,0,0,296.4261363636364,67570.50021700923,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
cytoplasmic translation (GO:0002181),58/93,1.9591043572635493e-98,1.3899845414784882e-95,0,0,270.9770956316411,60964.65776780592,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
cotranslational protein targeting to membrane (GO:0006613),58/94,5.0859139845018926e-98,2.4056373146693953e-95,0,0,263.4366391184573,59016.88421892067,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
protein targeting to ER (GO:0045047),58/103,1.3670032858481324e-94,4.849444156546249e-92,0,0,210.6534435261708,45528.608329970986,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",58/113,2.73715743937177e-91,7.768052812937083e-89,0,0,172.2656649135988,35922.27030301768,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
nuclear-transcribed mRNA catabolic process (GO:0000956),59/171,7.222469987693335e-80,1.7081141520894737e-77,0,0,86.5201636904762,15766.53572465586,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;UBA52;DDX5;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
peptide biosynthetic process (GO:0043043),57/162,1.2446536222687858e-77,2.523090699999153e-75,0,0,87.72927400468384,15535.116937814499,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
translation (GO:0006412),60/214,6.321192128944811e-75,1.1212214538715858e-72,0,0,64.39048346611372,11001.112436089792,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL10;RPL12;RPL11;RPS3;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;EEF2;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;RPS23
gene expression (GO:0010467),64/356,1.571906713827058e-66,2.4783729188006614e-64,0,0,37.22025014889815,5639.550025181064,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;DDX17;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;HNRNPH1;RPL37A;SRSF3;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;BAZ2A;HSPD1;RPS3;RPL14;RPL13;RPS2;RPS27A;RPL19;RBM39;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;HNRNPA2B1;RPS20;RPS24;RPS23
cellular macromolecule biosynthetic process (GO:0034645),61/314,1.99370758621277e-65,2.8290710648359205e-63,0,0,39.98284986936424,5956.566408463811,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;BAZ2A;RPS3;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;EEF2;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS24;EIF4G2;RPS23
