Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
neutrophil degranulation (GO:0043312),18/481,8.006842396220088e-18,2.545905671447395e-15,0,0,27.06248071582845,1065.3479809072912,CAP1;SERPINB1;ITGB2;CYBB;SLC2A3;LYZ;MMP8;MPO;SELL;PSAP;S100A12;CTSG;BPI;CEACAM8;B2M;S100A9;S100A8;LTF
neutrophil activation involved in immune response (GO:0002283),18/485,9.268634012158738e-18,2.545905671447395e-15,0,0,26.825175894769043,1052.0805996788604,CAP1;SERPINB1;ITGB2;CYBB;SLC2A3;LYZ;MMP8;MPO;SELL;PSAP;S100A12;CTSG;BPI;CEACAM8;B2M;S100A9;S100A8;LTF
neutrophil mediated immunity (GO:0002446),18/488,1.0335205702763442e-17,2.545905671447395e-15,0,0,26.64984802431611,1042.301555221738,CAP1;SERPINB1;ITGB2;CYBB;SLC2A3;LYZ;MMP8;MPO;SELL;PSAP;S100A12;CTSG;BPI;CEACAM8;B2M;S100A9;S100A8;LTF
defense response to bacterium (GO:0042742),9/176,2.1458299980265892e-10,3.964420921354124e-8,0,0,28.82068295840751,641.6153965316352,S100A12;DEFA3;CTSG;BPI;LYZ;MPO;S100A9;S100A8;LTF
cytokine-mediated signaling pathway (GO:0019221),11/621,1.1756223634532079e-7,1.7375698531838413e-5,0,0,9.966463700234192,159.02786453368324,ITGB2;CFL1;ADAR;CTSG;FOS;GAB2;LCP1;SAMHD1;B2M;MCL1;JAK1
defense response to fungus (GO:0050832),4/24,2.51547457085977e-7,3.098226179775617e-5,0,0,94.92380952380952,1442.4274834555008,S100A12;S100A9;S100A8;LTF
negative regulation of cell development (GO:0010721),4/26,3.527227819376416e-7,3.7237447978845306e-5,0,0,86.28571428571429,1281.9971969903536,RFLNB;B2M;SORL1;LTF
defense response to Gram-negative bacterium (GO:0050829),5/73,6.876222709353073e-7,6.351910727764902e-5,0,0,35.6635581061693,506.06682300540047,DEFA3;CTSG;BPI;LYZ;LTF
retina homeostasis (GO:0001895),4/36,1.3666402521174838e-6,1.1221634959053562e-4,0,0,59.291666666666664,800.6245771157494,LYZ;B2M;ACTB;LTF
positive regulation of inflammatory response (GO:0050729),5/89,1.8489550366126193e-6,1.3663777720567257e-4,0,0,28.8472706155633,380.80964399043,S100A12;MMP8;ETS1;S100A9;S100A8
innate immune response (GO:0045087),7/302,5.3952654143141e-6,3.6246374010710184e-4,0,0,11.961147327249023,145.0885826854332,S100A12;CYBB;DEFA3;ADAR;BPI;B2M;LTF
amyloid fibril formation (GO:1990000),4/63,1.3207526870789883e-5,7.423997478803655e-4,0,0,32.11460855528652,360.7987529980543,LYZ;B2M;SORL1;LTF
inflammatory response (GO:0006954),6/230,1.3817755917583553e-5,7.423997478803655e-4,0,0,13.212053571428571,147.83701505840932,ITGB2;CYBB;FOS;LYZ;S100A9;S100A8
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),4/64,1.406440659042641e-5,7.423997478803655e-4,0,0,31.57777777777778,352.78261688561037,S100A12;DEFA3;S100A9;LTF
neutrophil chemotaxis (GO:0030593),4/70,2.0092671194441504e-5,9.898989341794848e-4,0,0,28.6984126984127,310.3777938294768,ITGB2;S100A12;S100A9;S100A8
granulocyte chemotaxis (GO:0071621),4/73,2.3731901800629496e-5,0.0010961172144165747,0,0,27.446514837819187,292.2694376238826,ITGB2;S100A12;S100A9;S100A8
neutrophil migration (GO:1990266),4/77,2.9309178077419544e-5,0.0012740872117184142,0,0,25.937377690802347,270.7242287656938,ITGB2;S100A12;S100A9;S100A8
peptidyl-cysteine S-nitrosylation (GO:0018119),2/5,5.152281581570945e-5,0.0021152978271005156,0,0,302.2878787878788,2984.6350856326303,S100A9;S100A8
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),3/34,6.481302452738128e-5,0.002520885532933409,0,0,44.83795948987247,432.4174597310225,FOS;NR3C1;ETS1
positive regulation of defense response (GO:0031349),4/98,7.552716483275188e-5,0.0027126628638560173,0,0,20.121580547112462,190.97428652767968,S100A12;ETS1;S100A9;S100A8
platelet aggregation (GO:0070527),3/36,7.708514227466355e-5,0.0027126628638560173,0,0,42.116279069767444,398.86643269157304,FLNA;TLN1;ACTB
cellular response to cytokine stimulus (GO:0071345),7/482,1.0725049624588564e-4,0.003450226777030006,0,0,7.360485829959514,67.27736787914965,RIPOR2;ITGB2;CTSG;FOS;GAB2;MCL1;JAK1
regulation of inflammatory response (GO:0050727),5/206,1.0738188886561588e-4,0.003450226777030006,0,0,11.984589248877564,109.52858758301257,S100A12;MMP8;ETS1;S100A9;S100A8
antibacterial humoral response (GO:0019731),3/44,1.411562789923184e-4,0.004082453689479623,0,0,33.88485536018151,300.4110280096531,DEFA3;CTSG;LTF
homotypic cell-cell adhesion (GO:0034109),3/44,1.411562789923184e-4,0.004082453689479623,0,0,33.88485536018151,300.4110280096531,FLNA;TLN1;ACTB
leukocyte aggregation (GO:0070486),2/8,1.4363165889914778e-4,0.004082453689479623,0,0,151.12121212121212,1337.159543603372,S100A9;S100A8
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),3/45,1.5099573329148714e-4,0.004132809144533667,0,0,33.07641196013289,291.0148384848369,FOS;NR3C1;ETS1
interleukin-12-mediated signaling pathway (GO:0035722),3/46,1.612706528819647e-4,0.0042563933028489966,0,0,32.30557057869118,282.1060216075908,CFL1;LCP1;JAK1
cellular response to interleukin-12 (GO:0071349),3/48,1.8316055930340806e-4,0.004542362417669859,0,0,30.866666666666667,265.6122169240874,CFL1;LCP1;JAK1
peptidyl-cysteine modification (GO:0018198),2/9,1.8439901560229468e-4,0.004542362417669859,0,0,129.52597402597402,1113.7172470762985,S100A9;S100A8
platelet degranulation (GO:0002576),4/125,1.9366664777664856e-4,0.004616762990546558,0,0,15.61038961038961,133.45903076828307,SRGN;PSAP;FLNA;TLN1
positive regulation of intracellular signal transduction (GO:1902533),7/546,2.3111640395156923e-4,0.005207328764923249,0,0,6.465201465201465,54.13047506570163,FLNA;S100A12;GAB2;MMP8;S100A9;S100A8;LTF
regulation of intrinsic apoptotic signaling pathway (GO:2001242),3/52,2.3253294890726277e-4,0.005207328764923249,0,0,28.34124347413384,237.11640779595638,S100A9;S100A8;MCL1
positive regulation of response to external stimulus (GO:0032103),4/139,2.9068855450639804e-4,0.006318201228830239,0,0,13.981657848324515,113.85624885137462,S100A12;ETS1;S100A9;S100A8
actin crosslink formation (GO:0051764),2/12,3.3658272069457453e-4,0.006909295294258072,0,0,90.65454545454546,724.9341768950484,FLNA;LCP1
modulation by host of viral process (GO:0044788),2/12,3.3658272069457453e-4,0.006909295294258072,0,0,90.65454545454546,724.9341768950484,CFL1;LTF
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994),2/13,3.971974518746659e-4,0.007731016833733834,0,0,82.4090909090909,645.3519397906415,ITGB2;ETS1
negative regulation of endopeptidase activity (GO:0010951),3/63,4.1050937015427744e-4,0.007731016833733834,0,0,23.132558139534883,180.3902746645976,SERPINB1;SORL1;LTF
